scan_time,event_ticker,gold_price,hours_left,threshold,bid,ask,fair_value,buy_edge,sell_edge,vol_24h,signal
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4540.0,0.93,1.0,1.0,0.0000,-0.0700,0.0,
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4530.0,0.93,1.0,1.0,0.0000,-0.0700,0.0,
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4820.0,0.21,0.28,0.2126,-0.0674,-0.0026,4.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4740.0,0.55,0.61,0.7227,0.1127,-0.1727,17.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4730.0,0.59,0.65,0.7606,0.1106,-0.1706,1.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4720.0,0.63,0.7,0.7956,0.0956,-0.1656,0.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4800.0,0.31,0.37,0.459,0.0890,-0.1490,18.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4710.0,0.67,0.74,0.8275,0.0875,-0.1575,0.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4700.0,0.7,0.77,0.8562,0.0862,-0.1562,0.0,BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4640.0,0.85,0.89,0.963,0.0730,-0.1130,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4750.0,0.51,0.62,0.6822,0.0622,-0.1722,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4780.0,0.39,0.49,0.5503,0.0603,-0.1603,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4760.0,0.47,0.58,0.6397,0.0597,-0.1697,2.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4770.0,0.43,0.54,0.5955,0.0555,-0.1655,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4790.0,0.35,0.45,0.5046,0.0546,-0.1546,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4810.0,0.27,0.36,0.4141,0.0541,-0.1441,25.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4690.0,0.73,0.83,0.8815,0.0515,-0.1515,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4680.0,0.76,0.86,0.9036,0.0436,-0.1436,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4670.0,0.79,0.88,0.9226,0.0426,-0.1326,0.0,WEAK_BUY
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4820.0,0.24,0.34,0.3706,0.0306,-0.1306,4.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4660.0,0.81,0.91,0.9387,0.0287,-0.1287,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4650.0,0.83,0.93,0.9521,0.0221,-0.1221,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4600.0,0.93,0.97,0.9887,0.0187,-0.0587,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4830.0,0.2,0.31,0.3287,0.0187,-0.1287,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4590.0,0.94,0.98,0.9919,0.0119,-0.0519,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4840.0,0.17,0.28,0.2891,0.0091,-0.1191,6.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4850.0,0.14,0.25,0.2521,0.0021,-0.1121,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4630.0,0.86,0.97,0.9719,0.0019,-0.1119,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4530.0,0.93,1.0,0.9992,-0.0008,-0.0692,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4620.0,0.88,0.98,0.9789,-0.0011,-0.0989,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4540.0,0.93,1.0,0.9988,-0.0012,-0.0688,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4860.0,0.12,0.22,0.2178,-0.0022,-0.0978,12.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4560.0,0.94,1.0,0.9973,-0.0027,-0.0573,15.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4610.0,0.89,0.99,0.9845,-0.0055,-0.0945,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4870.0,0.1,0.2,0.1865,-0.0135,-0.0865,20.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4880.0,0.08,0.18,0.1583,-0.0217,-0.0783,20.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4890.0,0.06,0.16,0.1331,-0.0269,-0.0731,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4910.0,0.03,0.13,0.0916,-0.0384,-0.0616,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4900.0,0.04,0.15,0.1109,-0.0391,-0.0709,0.0,
2026-04-01 15:06 UTC,KXGOLDD-26APR0217,4791.00,5.9,4920.0,0.02,0.12,0.075,-0.0450,-0.0550,0.0,
